Date,Processing Crew,start time,end time,Gear Method,Species,FL (mm),WW (kg),Sample ID,Transport ID,Comments
3/14/2019,JN/SS/BP,10:00:00,,Fyke,SB,420,0.87,2019313-F-3-F-10-2,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,11:05:00,,Fyke,SB,304,0.43,2019313-F-1-F-6-1,2019314-T-USER-PFRS-1-4,
3/19/2019,JN/LD/BP,11:30:00,,Hoop,SB,399,0.64,2019318-H-1-Front-H-36-1A,2019319-T-USER-PFRS-1-6,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,11:30:00,,Hoop,BB,266,0.18,2019318-H-1-Front-H-36-1A,2019319-T-USER-PFRS-1-6,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,11:30:00,,Hoop,BB,334,0.36,2019318-H-1-Front-H-36-1A,2019319-T-USER-PFRS-1-6,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,11:30:00,,Hoop,BB,373,0.64,2019318-H-1-Front-H-36-1A,2019319-T-USER-PFRS-1-6,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,11:30:00,,Hoop,BB,366,0.48,2019318-H-1-Front-H-36-1A,2019319-T-USER-PFRS-1-6,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,11:30:00,,Hoop,BB,321,0.38,2019318-H-1-Front-H-36-1A,2019319-T-USER-PFRS-1-6,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,11:30:00,,Hoop,BCR,249,0.17,2019318-H-1-Front-H-36-1A,,2-36-3B/3-48-2A/4-48-3A
3/19/2019,JN/LD/BP,13:00:00,,Lampara,CC,183,0.04,2019319-L-6-L-1,2019319-T-USER-PFRS-1-6,
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,260,0.16,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,285,0.13,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,350,0.42,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,273,0.12,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,275,0.12,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,280,0.26,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,305,0.32,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,290,0.22,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,330,0.26,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,295,0.2,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,240,0.17,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/19/2019,JN/LD/BP,12:45:00,,Seine,SB,270,0.15,2019319-B-1-BS-1,2019319-T-USER-PFRS-1-6,2019319-B-2-BS-1
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,361,0.47,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,350,0.34,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,395,0.72,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,355,0.5,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,400,0.66,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,367,0.57,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:00:00,,Fyke,SB,390,0.62,2019319-F-1-F-10-1,2019320-T-USER-PFRS-1-8,dead in trans truck
3/20/2019,JN/LD/CS,9:30:00,,Fyke,SB,366,0.49,2019319-F-2-F-10-2,2019320-T-USER-PFRS-1-8,
3/20/2019,JN/LD/CS,9:30:00,,Fyke,SB,353,0.56,2019319-F-2-F-10-2,2019320-T-USER-PFRS-1-8,
3/21/2019,LD/BP/SJ,8:50:00,,Fyke,SB,365,0.5,2019320-F-1-F-10-1,2019321-T-User-PFRS-3-4,
3/21/2019,LD/BP/SJ,8:50:00,,Fyke,SB,385,0.45,2019320-F-1-F-10-1,2019321-T-User-PFRS-3-4,
3/21/2019,LD/BP/SJ,8:50:00,,Fyke,SB,375,0.52,2019320-F-1-F-10-1,2019321-T-User-PFRS-3-4,
3/21/2019,LD/BP/SJ,8:50:00,,Fyke,SB,373,0.53,2019320-F-1-F-10-1,2019321-T-User-PFRS-3-4,
3/25/2019,JN/LD/KC,11:00:00,,Lampara,SB,379,0.99,2019325-L-4-L-2,2019325-T-USER-PFRS-2-6,
3/25/2019,JN/LD/KC,11:30:00,,Lampara,LMB,265,0.26,2019325-L-2-L-2,2019325-T-USER-PFRS-2-6,
3/25/2019,JN/LD/KC,11:30:00,,Lampara,LMB,378,0.52,2019325-L-2-L-2,2019325-T-USER-PFRS-2-6,
3/25/2019,JN/LD/KC,11:30:00,,Lampara,LMB,354,0.62,2019325-L-2-L-2,2019325-T-USER-PFRS-2-6,
3/25/2019,JN/LD/KC,11:30:00,,Lampara,LMB,266,0.26,2019325-L-2-L-2,2019325-T-USER-PFRS-2-6,
3/25/2019,JN/LD/KC,11:30:00,,Lampara,SPB,269,0.34,2019325-L-2-L-2,2019325-T-USER-PFRS-2-6,
3/25/2019,JN/LD/KC,11:30:00,,Lampara,REB,324,0.62,2019325-L-2-L-2,2019325-T-USER-PFRS-2-6,
3/26/2019,JN/LD/CS,13:00:00,,Hoop ,BB,213,0.07,2019325-H-1-Front-H-36-3B,2019326-T-USER-PFRS-3-6,
3/27/2019,JN/LD/BP,9:40:00,,Fyke,SB,363,0.45,2019326-F-1-F-10-1,2019327-T-USER-PFRS-,
3/27/2019,JN/LD/BP,9:40:00,,Fyke,SB,388,0.6,2019326-F-2-F-10-2,2019327-T-USER-PFRS-,
3/28/2019,SJ/BP/CS,9:00:00,,Fyke,SB,413,0.75,2019327-F-1-F-1-10-1,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,9:00:00,,Fyke,SB,410,0.64,2019327-F-1-F-1-10-1,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,9:00:00,,Fyke,SB,367,0.38,2019327-F-1-F-1-10-1,2019328-T-USER-PFRS-3-2,
